,name,display_name,short_description,description,created_by,released,created_at,updated_at,featured
10,tactical-shooter,tactical-shooter,ビデオゲームのジャンルの一つ。,FPS（ファースト・パーソン・シューティング）と3P（サード・パーソン・シューティング）の両ジャンルをカバーする、シューティングゲームのサブジャンル。,,,2020-04-25T07:34:43Z,2021-10-11T07:45:08Z,False
11,artillery-game,artillery-game,ビデオゲームのジャンルの一つ。,砲術ゲームは、戦車同士が戦闘などで戦う初期の2～3人用（通常はターン制）ビデオゲームです。,,,2017-02-05T05:46:26Z,2021-10-11T07:45:03Z,False
12,mud-game,mud-game,ビデオゲームのジャンルの一つ。,MUD（Multi User Dungeon）は、ロールプレイングゲーム、ハック＆スラッシュ、プレイヤー対プレイヤー、インタラクティブフィクション、オンラインチャットの要素を組み合わせた、通常はテキストベースの多人数参加型リアルタイム仮想世界である。,,,2020-10-28T13:47:39Z,2021-10-11T07:45:06Z,False
13,vehicular-combat,vehicular-combat,ビデオゲームのジャンルの一つ。,ゲームプレイの主な目的は、武器で武装した車両が、CPUまたは相手プレイヤーが制御する車両を破壊することであるビデオ名声のジャンル。,,,2019-02-22T09:26:57Z,2021-10-11T07:45:09Z,False
14,turn-based-tactics,turn-based-tactics,ビデオゲームのジャンルの一つ。,ターン制戦略ゲームの戦略的考察とは対照的に、一般的に小規模な対立における作戦戦や軍事戦術の考察や状況をシミュレートする戦略ビデオゲームのサブジャンルです。,,,2019-11-15T11:35:11Z,2021-10-11T07:45:08Z,False
15,thelounge,The Lounge,The Loungeは、セルフホスティングを前提に設計されたモダンなWeb IRCクライアントです。,ラウンジは、セルフホスティング用に設計された最新のウェブIRC（インターネットリレーチャット）クライアントです。クロスプラットフォームで、ブラウザ上で動作し、クライアントを閉じたときにもIRC接続を開いたままにします。JavaScriptとNode.jsで構築されています。,,"February 12, 2016",2017-07-10T09:15:47Z,2021-10-30T19:59:19Z,False
16,bosque,Bosque,Bosqueは正則化された設計を持つプログラミング言語です。,プログラミング言語BosqueはMicrosoft Researchのプロジェクトで、人間にとっても機械にとってもシンプルで明白、かつ推論しやすいコードを書くための言語設計を研究しています。この言語の主要な設計上の特徴は、開発とコーディングのプロセスにおいて偶然の複雑さを回避する方法を提供します。,Microsoft,"April 7, 2019",2018-04-25T16:23:52Z,2021-11-21T09:08:42Z,False
17,art-net,Art-Net,DMX512-AおよびRDMをUDP/IPで伝送するための通信プロトコルです。,Art-Netは、照明制御プロトコルDMX512-Aとリモートデバイス管理プロトコル（RDM）をインターネットプロトコルスイートのUDP（User Datagram Protocol）上で伝送するためのロイヤリティーフリーの通信プロトコルである。,Artistic Licence,,2017-03-08T14:16:03Z,2021-10-20T23:17:01Z,False
18,moleculer,Moleculer,プログレッシブマイクロサービスフレームワーク。,Moleculerは、Node.jsのための高速でモダンで強力なマイクロサービスフレームワークです。効率的で信頼性の高い、スケーラブルなサービスを構築するのに役立ちます。Moleculerは、マイクロサービスを構築し管理するための多くの機能を提供します。,icebob,"February 17, 2017",2017-03-01T22:28:15Z,2021-10-30T19:59:14Z,False
19,life-simulator,life-simulator,ビデオゲームのジャンルの一つ。,シミュレーションゲームの一種で、プレイヤーが1つまたは複数の仮想生命体を生活または操作するもの。,,,2017-04-14T11:49:19Z,2021-10-11T07:45:05Z,False
20,rockset,Rockset,Rocksetは、クラウド上のリアルタイム索引データベースです。,Rocksetは、低レイテンシーかつ高連続性の分析クエリーを大規模に提供するためのリアルタイムインデックス・データベース・サービスです。OLTPデータベース、ストリーム、レイクスの構造化・半構造化データに対してConverged Index™をリアルタイムに構築し、RESTfulなSQLインターフェースを提供します。,Rockset Inc.,"November 1, 2018",2019-12-14T00:29:44Z,2021-03-29T05:28:50Z,False
21,csg,Constructive Solid Geometry,CSGとは、Constructive Solid Geometryの略で、3Dソリッドを組み合わせるモデリング手法の一つです。,"CSGとは、Constructive Solid Geometryの略で、モデラーがより単純なオブジェクトを結合するために、論理演算子（unionやintersectionなど）を使用して複雑なサーフェスやオブジェクトを作成することができるモデリング手法である。
上記文章はwikipediaより引用。",,,2017-02-01T01:15:12Z,2021-06-05T02:10:18Z,False
22,tic-80,TIC-80,TIC-80は、小さなゲームを作り、遊び、共有するためのファンタジーコンピュータです。,TIC-80は、小さなゲームを作ったり、遊んだり、共有したりするために使うことができる小さなコンピュータです。コード、スプライト、マップ、サウンドエディター、コマンドラインなど、開発用のツールが組み込まれており、これだけでミニレトロゲームを作ることができます。,Vadim Grigoruk,,2017-02-11T16:15:30Z,2022-02-06T15:17:25Z,False
23,mercury-lang,Mercury,Mercuryは、関数型論理型プログラミング言語である。,Mercuryは、大規模で高速かつ信頼性の高いプログラムの作成を目的とした純論理プログラ ミング言語である。Mercuryの構文はPrologの構文に基づいていますが、Mercuryの純粋性、型、モード、決定性、モジュールシステムにより、意味的には両言語は大きく異なっています。,Zoltan Somogyi,April 8 1995,2020-11-10T14:08:52Z,2021-04-12T09:43:27Z,False
24,platform-game,platform-game,ビデオゲームのジャンルの一つ。,吊り下げられたプラットフォームの間を、障害物を避けながらジャンプして登っていくビデオゲームの一ジャンル。,,,2017-02-01T11:00:03Z,2021-11-27T03:11:24Z,False
25,retro-game,retro-game,ビデオゲームのジャンルの一つ。,現代において、旧来のパソコンや家庭用ゲーム機、アーケードゲームなどで遊んだゲーム。自分や親が若いころに遊んだもの。,,,2017-07-13T08:30:00Z,2021-10-11T07:45:06Z,False
26,toit,Toit,トイトでは、テクノロジー系スタートアップ企業に対して、IoTソリューションのための最適な基盤を提供しています。,Toit言語は、ESP32ベースのデバイスに堅牢なサービス性をもたらすToitプラットフォームの基礎となるものです。,Toitware ApS,2018,2021-08-02T01:41:11Z,2021-12-20T21:56:47Z,False
27,interactive-film,interactive-film,ビデオゲームのジャンルの一つ。,ゲームプレイを映画的、脚本的に表現するビデオゲームのスタイルで、多くの場合、ビデオやアニメーションを使用する。,,,2021-10-11T07:45:05Z,2021-10-11T07:45:05Z,False
28,scikit,SciKits,SciKits (SciPy Toolkits の略) は SciPy 用のアドオンパッケージです。,SciKits (SciPy Toolkits の略) は SciPy のアドオンパッケージで、メインの SciPy ディストリビューションとは別に独立にホストされ開発されています。すべての SciKits は OSI 承認のライセンスで提供されています。,,,2017-02-07T21:15:31Z,2021-11-24T15:45:25Z,False
29,dle,Data Life Engine,PHPとMySQLで書かれたCMS「Data Life Engine」。,DataLife Engineは、多機能なコンテンツマネジメントシステムです。ロシアで最も人気のあるCMSプロジェクトの1つです。,,"January 30, 2004",2017-02-03T09:44:12Z,2021-02-01T21:45:43Z,False
30,glam,GLAM,GLAMとは、「ギャラリー、図書館、資料館、博物館」の頭文字をとったものです。,GLAMとは、「ギャラリー、図書館、公文書館、博物館」の頭文字をとったもので、知識へのアクセスを提供することを使命とする文化施設のことである。GLAMは、公共の利益のために文化遺産を収集し、維持する。,,,2017-02-02T02:09:15Z,2021-08-09T21:49:42Z,False
31,standard-ml,Standard ML,Standard ML（SML）は，コンパイル時の型チェックと型推論を備えた汎 用的な関数型プログラミング言語です．,"Standard ML (SML; Standard Meta Language) は，コンパイル時の型チェックと型推論を備えた，汎用的なモジュール型の関数型プログラミング言語です．コンパイラの開発者やプログラミング言語の研究者，定理証明器の開発者などに広く用いられています．
SMLは、Logic for Computable Functionsの定理証明プロジェクトで使用されているプログラミング言語MLの現代的な方言です。広く使われている言語の中で、形式的な仕様を持っていることが特徴です。","Robin Milner, Mads Tofte, Robert Harper",1983,2017-02-01T11:48:10Z,2022-02-04T10:35:51Z,False
32,portapps,Portapps,Windows用ポータブルアプリのコレクション。,Portappsは、Windows用のポータブルアプリケーション集です。好きなアプリケーションをポータブル🚀セットアップまたは7zアーカイブとしてダウンロードすることができます。各ポータブルアプリは、Golangで書かれたラッパー[appname]-portable.exeを介して実行されます。,CrazyMax,"September 22, 2019",2017-12-04T01:09:06Z,2021-05-23T14:07:58Z,False
33,reactphp,ReactPHP,ReactPHPは、PHPでイベントドリブン、ノンブロッキングI/Oを可能にするライブラリです。,ReactPHP は、PHP でイベントドリブンプログラミングを行うための低レベルライブラリです。その中核はイベントループで、その上にストリーム抽象化、非同期DNSリゾルバ、ネットワーククライアント/サーバ、HTTPクライアント/サーバ、プロセスとの対話などの低レベルユーティリティが提供されます。,Igor Wiedler,"April 14, 2012",2017-01-31T21:55:09Z,2021-12-25T19:52:03Z,False
34,woodpeckerci,WoodpeckerCI (Pipelines),Woodpecker CIを使用しているリポジトリです。,Woodpecker CIパイプラインは、テスト、ビルド、デプロイを自動化します。シンプルで拡張性の高いCIエンジンであるWoodpecker CIを使用しています。,,,2021-10-10T12:39:59Z,2022-02-16T21:30:33Z,False
35,point-and-click,point-and-click,ビデオゲームのジャンルの一つ。,コンピュータのマウスを使ったポイント＆クリック操作でキャラクターを操作するゲーム。,,,2017-02-01T03:43:32Z,2022-01-30T17:13:51Z,False
36,golem,Golem Network,Golemは、分散計算のためのオープンソースプラットフォームとマーケットプレイスです。,Golemは、コンピューティングパワーをレンタルするための分散型マーケットプレイスです。プロバイダは自分のハードウェアをネットワークに貸し出し、リクエスタはそのハードウェア上でアプリケーションを実行するためにお金を払うことができます。Golemは、WASM、Dockerライクな軽量仮想マシン、信頼できる実行環境（SGX）などの実行環境をサポートしています。,@golemfactory,"April 10, 2018",2017-02-03T17:38:48Z,2021-06-21T18:29:52Z,False
37,zeit,ZEIT,クラウドコンピューティングをモバイルコンピューティングのように簡単で身近なものにするためのツールを構築する会社です。,ZEITのミッションは、クラウドコンピューティングをモバイルコンピューティングのように簡単で身近なものにすることです。開発者、デザイナー、そしてそれを目指す人たちのために製品を作っています。,,,2017-01-31T22:37:34Z,2021-12-22T10:43:19Z,False
38,4x,4x,ビデオゲームのジャンルの一つ。,4Xとは、プレイヤーが帝国を支配し、「探索、拡張、搾取、駆逐」する戦略型ゲームのジャンルです。,,,2017-02-15T10:19:05Z,2021-11-30T20:45:12Z,False
39,frame-interpolation,Frame Interpolation,撮影された2つの映像の間に新たな映像を合成する方法。,フレーム補間は、映像のフレームレートを上げたり、フレームレートを下げずにスローモーション映像を作成するために使用します。,,,2017-10-27T19:49:15Z,2021-11-02T21:49:43Z,False
40,computer-algebra,Computer algebra,計算機代数ライブラリは、数式を用いた操作に使用されます。,"コンピュータ（記号）代数システムおよびライブラリは、記号的な数式の操作のために使用される。
通常、これらのライブラリは微分積分や極限値計算などの微分演算や数値演算が可能である。
これは、浮動小数点演算を避け、正確な結果を計算するためである。",,,2017-01-31T21:31:40Z,2021-07-17T18:21:14Z,False
41,teeworlds,Teeworlds,レトロなマルチプレイヤーシューティングゲーム。,Teeworlds は無料のオンライン マルチプレイヤー ゲームで、すべての主要なオペレーティング システムで利用可能です。チームデスマッチやキャプチャーザフラッグなど、さまざまなゲームモードで最大16人のプレイヤーとバトルできます。自分だけのマップをデザインすることも可能です。,Magnus Auvinen,2007,2017-02-01T08:37:09Z,2021-05-25T10:10:20Z,False
42,pov-ray,POV-Ray,POV-Rayは、テキストベースのシーン記述から画像を生成するクロスプラットフォームのレイトレーシング・プログラムです。,POV-Rayとは、Persistence of Vision Raytracerの略で、高品質なコンピュータグラフィックスを作成するためのツールです。レイトレーサーは、レイトレーシングと呼ばれるレンダリング技術を使って、3次元のフォトリアリスティックな画像を作成します。テキストファイルに記述されたオブジェクトや照明の情報を読み取り、同じくテキストファイルに記述されたカメラの視点から見たシーンの画像を生成する。,The POV-Team,"July 29, 1991",2017-11-17T09:02:05Z,2020-04-17T03:12:14Z,False
43,hack-and-slash,hack-and-slash,ビデオゲームのジャンルの一つ。,テーブルトップゲームやビデオゲームにおいて、戦闘に重点を置いたゲームプレイの一種。,,,2017-06-27T18:59:22Z,2021-10-11T07:45:05Z,False
44,gradescope,Gradescope,Gradescopeは、コースワークの採点とフィードバックの提供を容易にするためのサービス群です。,Gradescopeは、授業の成績評価とフィードバックの提供を容易にするためのサービス群です。Gradescopeは、紙ベース、デジタル、コードによる課題の採点という面倒な作業を合理化し、学生の学習状況についての洞察を提供します。Gradescopeを利用することで、講師は採点にかかる時間を短縮し、より重要なこと、つまり教育に専念できるようになります。Gradescopeを使用すると、学生はより速く、より詳細なフィードバックを受けることができ、講師は課題や問題の詳細な分析結果を見ることができます。,,2014,2017-06-23T07:27:05Z,2021-05-22T06:24:25Z,False
45,bridgetown,bridgetown,Ruby 用のモダンな静的サイトジェネレータです。,Jared Whiteによって開発された、Webpackを意識した、現代のJamstack時代のRubyによる静的サイトジェネレータです。Jekyllのような実績のあるオープンソース技術に基づいて構築されたBridgetownは、Webサイトやフロントエンドアプリケーションを構築するための高速でスケーラブル、モジュラー、そして徹底的に将来を見据えたフレームワークです。,Jared White,"April 14, 2020",2020-05-05T21:49:42Z,2021-05-03T18:10:02Z,False
46,fighting-game,fighting-game,ビデオゲームのジャンルの一つ。,一定の広さの競技場で、限られた数のキャラクターによる接近戦を中心としたビデオゲームのジャンルです。,,,2017-02-08T06:42:51Z,2022-01-07T09:03:16Z,False
47,coregames,CoreGames,Coreは、ゲーム編集、パブリッシング、ディスカバリーのためのツールを備えた、完全なマルチプレイヤー開発プラットフォームです。,Core は、Lua API と Unreal Engine を使用したゲーム編集、パブリッシング、ディスカバリーのためのツールを備えた、完全なマルチプレイヤー開発プラットフォームです。,Manticore Games,,2020-05-25T21:54:14Z,2022-02-21T21:20:07Z,False
48,vala,Vala,Vala は、追加のランタイム要件を課すことなく GNOME 開発者に最新の機能を提供するプログラミング言語です。,Vala は GNOME 開発者に最新のプログラミング言語の機能を提供することを目的としたプログラミング言語であり、ランタイムの追加要件を課すことなく、また C 言語で書かれたアプリケーションやライブラリと比較して異なる ABI を使用することなく、Vala のソースコードで宣言されたクラスとインターフェースを作成するために GObject 型システムを使用しています。,"Jürg Billeter, Raffaele Sandrini","July 15, 2006",2017-01-31T21:35:39Z,2022-02-20T09:12:21Z,False
49,plover,Plover,Ploverは、フリー、オープンソース、クロスプラットフォームのステノグラフィーエンジンです。,"Ploverは、オープンソースのクロスプラットフォームな速記エンジンで、速記機、ホビー機、コンピュータキーボードなど、さまざまなハードウェアに対応しています。誰でも無料で速記ができることを目指しています。
速記は、1分間に200ワード以上の速さで文字を書くことができます。通常、一度に一つのキーを押して一文字ずつ出力するタイピングとは異なり、機械速記では一度に複数のキーを押して音節、単語、フレーズなどを出力する。そのため、文字起こしや字幕など、より高速に文章を書くことができます。また、文章を書くときやプログラミングをするとき、日常的にコンピュータを使うときにも、速記が使われています。",Open Steno Project,,2017-02-09T15:28:42Z,2022-01-07T02:29:34Z,False
50,battle-royale,battle-royale,ビデオゲームのジャンルの一つ。,バトルロワイヤルゲームとは、サバイバルゲームのサバイバル、探索、スカベンジングなどの要素と、最後の一人を決めるゲーム性を融合させたオンラインマルチプレイヤーゲームジャンルです。,,,2017-02-24T21:18:39Z,2021-12-07T14:21:40Z,False
51,neo,NEO,スマートエコノミーのための分散型ネットワーク。,NEOは、ブロックチェーン技術とデジタルIDを利用して資産をデジタル化し、デジタル資産を自己管理するスマートコントラクトを利用し、分散型ネットワークによる「スマートエコノミー」を実現するものです。,"Hongfei Da, Erik Zhang","July 15, 2016",2017-01-31T22:37:52Z,2021-08-08T04:38:31Z,False
52,ponylang,Pony,Ponyは、オープンソースのオブジェクト指向、アクターモデル、ケイパビリティセキュア、高性能なプログラミング言語です。,ポニーは，オープンソースのオブジェクト指向，アクターモデル，ケイパビリティセキュア，高性能なプログラミング言語です。高速で安全、効率的、かつ並列性の高いプログラムを容易に記述することができます。,Sylvan Clebsch,2015,2017-02-01T08:34:37Z,2022-01-05T18:06:37Z,False
53,alternate-reality-game,alternate-reality-game,ビデオゲームのジャンルの一つ。,現実世界をプラットフォームとし、トランスメディア・ストーリーテリングを用いて、プレイヤーの行動によって変化するストーリーを提供する、インタラクティブなネットワーク・ストーリーテリング。,,,2019-06-22T19:56:15Z,2021-10-11T07:45:03Z,False
54,action-adventure,action-adventure,ビデオゲームのジャンルの一つ。,アクションゲームとアドベンチャーゲームの両方の要素を併せ持つビデオゲームのジャンル。,,,2021-05-01T14:24:53Z,2021-10-11T07:45:02Z,False
55,sbml,SBML,SBML (Systems Biology Markup Language) は、生物学的プロセスのコンピュータモデルのための、フリーでオープンなXMLベースの交換フォーマットです。,SBML（The Systems Biology Markup Language）は、生物学的プロセスの表現を伝達・保存するためのXMLベースのフォーマットである。SBMLの目的は、生物学におけるモデルを表現するための共通言語となることである。SBMLは、細胞シグナル伝達経路、代謝経路、生化学反応、遺伝子制御など、様々なテーマの研究に共通するモデルに適している。,,March 2001,2017-02-20T13:35:40Z,2021-11-12T20:09:03Z,False
56,biological-simulation,Biological Simulation,生物シミュレーションは、計算機手法を用いて生物システムの数学的モデルをシミュレーションするものです。,生物学的シミュレーションとは、計算機および数学的モデルを用いて生物システムをシミュレーションすることです。生物学の根底にある複雑性により、生物システムの出現行動を観察するための効率的なアルゴリズム、知識表現方法、可視化技術、データフォーマット、計算ツールの開発が必要とされています。また、時間スケールや空間スケールが多岐にわたるため、モデルの相互運用性や再現性を高めるために、コミュニティ主導の標準や共通フォーマットを開発する必要があります。,,,2018-06-27T17:53:48Z,2022-01-27T21:22:45Z,False
57,nanocurrency,Nano,Nanoは、Nano Foundationが開発した高速で感触の良い暗号通貨です。,Nanoは、分散型、持続可能、安全なデジタルマネーで、既存の金融システムに存在する非効率性を解決することに焦点をあてています。,Nano Foundation,"October 4, 2015",2018-02-19T17:01:55Z,2022-01-16T07:11:39Z,False
58,anidb,AniDB,AniDBは、オンラインの英語アニメ関連データベース、フォーラム、トラッカーです。,AniDBは、Anime DataBase（アニメ・データベース）の略です。AniDBは、非営利のアニメデータベースで、自由に公開されています。つまり、すべてのユーザーがAniDBに情報を追加したり、編集したりすることができるのです。このサイトでは、日中韓のすべてのアニメに関する詳細な情報を提供しています。,,2002,2017-02-03T02:24:54Z,2020-11-26T14:24:49Z,False
59,vr-game,vr-game,ビデオゲームのジャンルの一つ。,バーチャルリアリティで遊ぶゲーム。,,,2017-02-03T01:02:30Z,2021-10-27T14:44:42Z,False
60,mathcomp,Mathematical Components,Coqで形式化された数学理論の広範なレポジトリ。,"Mathematical Components は、Coq 証明アシスタントを使用して開発された、形式化された数学のリポジトリです。
形式化された数学のリポジトリです。このプロジェクトのルーツは、「四色定理」の形式的証明にあります。
四色定理の形式的証明に端を発しています。大規模な形式化プロジェクトに利用されています。
奇数次（Feit-Thompson）定理の形式的証明など、大規模な形式化プロジェクトに利用されています。",Georges Gonthier,2008,2018-07-24T21:01:10Z,2022-01-04T11:46:21Z,False
61,dungeon-crawl,dungeon-crawl,ビデオゲームのジャンルの一つ。,ファンタジー系のロールプレイングゲームにおけるシナリオの一種で、主人公がダンジョンやダンジョンに似た環境を進み、様々なモンスターと戦い、トラップを避け、パズルを解き、財宝を略奪するなどの行為を行う。,,,2019-04-05T19:20:41Z,2021-10-11T07:45:04Z,False
62,codeception,Codeception,みんなのModern PHP Testing。,Codeceptionは、PHPのための最新のフルスタックテスティングフレームワークです。BDDに触発され、受け入れテスト、機能テスト、そしてユニットテストを書くための全く新しい方法を提供します。PHPUnitを搭載しています。,Michael Bodnarchuk,December 2011,2017-01-31T22:20:43Z,2021-09-07T13:25:38Z,False
63,fantasy-game,fantasy-game,ビデオゲームのジャンルの一つ。,プレイヤーがキャラクターとなり、ファンタジックな冒険を繰り広げるゲームジャンルのこと。,,,2020-05-13T02:59:58Z,2021-10-11T07:45:04Z,False
64,golfing-language,Golfing language,簡潔であることを目的としたプログラミング言語。,ゴルフ言語とは、通常は難解な、それで書かれたプログラムができるだけ簡潔であるように設計されたプログラミング言語である。これらの言語は通常、コードゴルフで使用されます。,,,2017-02-01T17:36:53Z,2022-01-07T05:16:10Z,False
65,roomba,Roomba,アイロボット社のルンバは、ロボット床掃除機です。,iRobot Roombaは、iRobot社製のロボット床掃除機です。400シリーズ、900シリーズ、iシリーズ、sシリーズと、多くのイテレーションが存在する。旧モデルはiRobot社のiAdapt 1.0を使用して跳ね返り、新モデルはiAdapt 2.0または3.0を使用して体系的な清掃方法を採用しています。,iRobot,,2017-02-01T09:48:25Z,2020-12-24T21:20:16Z,False
66,mount-and-blade-bannerlord,Mount & Blade II: Bannerlord,マウント,発売元：テイルワールドエンターテイメント、マウント,TaleWorlds Entertainment,"March 30, 2020",2020-04-03T20:02:23Z,2021-07-25T18:55:06Z,False
67,netfree,Netfree,Netfreeは、不要なオンラインコンテンツにさらされないように、フィルタリングと安全対策を行います。,Netfreeは、不要なオンラインコンテンツへの暴露からフィルタリングと安全対策を作成する非営利団体です,magicode,November 2014,2020-05-12T13:31:06Z,2021-06-07T15:32:41Z,False
68,pim,PIM,個人情報管理or商品情報管理。,PIMという略語は、個人情報管理または製品情報管理（特に）を指す場合があります。,,,2017-02-01T06:51:25Z,2021-02-16T04:16:32Z,False
69,viur,ViUR,ViURは、Pythonで書かれたGoogle App Engineのためのフリーソフトウェア開発フレームワークです。,ViUR - the Information System for the Google App Engine™ platform - は、すべてのデザイナーと開発者のニーズと要求を満たすために作られた、オープンソースのソフトウェア開発フレームワークです。アジャイルなデータ管理ソフトウェアを実装するための明確なコンセプトを提供し、Python™で記述されています。着実に成長しているコミュニティは、ViURを常に改善しています。,Mausbrand,2012,2017-07-24T14:52:40Z,2020-10-12T06:09:24Z,False
70,calculate-pi,Calculate Pi,数学的な定数π。,"π（/paɪ/）は数学の定数である。元々は円の円周と直径の比として定義されていたが、現在では様々な等価な定義があり、数学や物理学のあらゆる分野で多くの数式に登場する。3.14159とほぼ等しい。18世紀半ばからギリシャ文字の「π」で表されるようになったが、「π」と表記されることもある。アルキメデスの定数とも呼ばれる。ウィキペディア
もしあなたが挑戦する気があるなら、このトピックは円周率を解くコードのあるリポジトリを含んでいます。",github,"March 14, 1592",2017-02-07T03:27:44Z,2021-05-09T12:08:34Z,False
71,uportal,uPortal,uPortalは、教育機関向けのエンタープライズポータルです。,uPortalは、高等教育機関、幼稚園から高校まで、そして研究コミュニティーのために作られたオープンソースの企業ポータルフレームワークです。uPortalは、JavaやXMLなどのオープンスタンダードに基づく技術で構築されており、認証やセキュリティインフラ、シングルサインオンによる安全なアクセス、キャンパスアプリケーション、Webベースのコンテンツ、エンドユーザーのカスタマイズなどと標準ベースで簡単に統合することが可能です。,Apereo,December 1999,2017-01-31T22:23:17Z,2021-04-24T09:04:06Z,False
72,php-fusion,PHP-Fusion,PHP-Fusionは、PHPで書かれた軽量のオープンソースコンテンツマネジメントシステム（CMS）です。,PHP-Fusionは、統合された拡張性のあるプラットフォームで、PHPで書かれた軽量のオープンソースコンテンツ管理システム（CMS）であり、コミュニティポータルや個人サイトの作成など、ウェブサイト制作のあらゆる目的に適合します。,PHP-Fusion Inc,"April 12, 2003",2017-02-05T04:04:43Z,2021-04-24T09:04:05Z,False
73,stealth-game,stealth-game,ビデオゲームのジャンルの一つ。,ビデオゲームの一種で、プレイヤーは主にステルスを使って敵対者を回避または克服する。,,,2017-06-12T09:45:51Z,2021-10-11T07:45:07Z,False
74,producthunt,ProductHunt,Product Huntは、毎日、最高の新製品をキュレーションしています。,Product Huntは、ユーザーが新しい製品を共有し、発見することができるアメリカのウェブサイトです。2013年11月にライアン・フーバーによって設立されたこのサイトは、Y Combinatorの支援を受けている。ユーザーが製品を投稿すると、日ごとにリニアにリストアップされる。,,,2017-02-02T07:21:34Z,2022-01-24T01:58:58Z,False
75,remarkable-tablet,reMarkable tablet,reMarkableタブレットは、電子インクスクリーン、タッチスクリーン、ペンデジタイザを搭載したノート型端末です。,reMarkableタブレットは、電子インクスクリーン、タッチスクリーン、ペンデジタイザを搭載したオープンなノート型端末です。このタブレットは、デフォルトでルートアクセスを持ち、Linuxベースのオペレーティングシステムを搭載しているため、タブレットの機能を拡張するソフトウェアを開発する熱心なコミュニティが形成されています。,,,2018-01-31T09:25:48Z,2022-02-24T16:27:35Z,False
