,name,display_name,short_description,description,created_by,released,created_at,updated_at,featured
10,tactical-shooter,tactical-shooter,A genre of video game.,A subgenre of shooter games that cover both first-person shooters and third-person shooters genres.,,,2020-04-25T07:34:43Z,2021-10-11T07:45:08Z,False
11,artillery-game,artillery-game,A genre of video game.,Artillery games are early two or three-player (usually turn-based) video games involving tanks fighting each other in combat or similar.,,,2017-02-05T05:46:26Z,2021-10-11T07:45:03Z,False
12,mud-game,mud-game,A genre of video game.,"A MUD (Multi-User Dungeon) is a multiplayer real-time virtual world, usually text-based, combining elements of role-playing games, hack and slash, player versus player, interactive fiction, and online chat.",,,2020-10-28T13:47:39Z,2021-10-11T07:45:06Z,False
13,vehicular-combat,vehicular-combat,A genre of video game.,"A genre of video fame where the primary objectives of gameplay includes vehicles, armed with weapons, attempting to destroy vehicles controlled by the CPU or by opposing players.",,,2019-02-22T09:26:57Z,2021-10-11T07:45:09Z,False
14,turn-based-tactics,turn-based-tactics,A genre of video game.,A subgenre of strategy video games that simulates the considerations and circumstances of operational warfare and military tactics in generally small-scale confrontations as opposed to more strategic considerations of turn-based strategy games.,,,2019-11-15T11:35:11Z,2021-10-11T07:45:08Z,False
15,thelounge,The Lounge,The Lounge is a modern web IRC client designed to be self-hosted.,"The Lounge is a modern web IRC (Internet Relay Chat) client designed to be self-hosted. It is cross-platform, runs in the browser, and keeps IRC connections open when clients are closed. It is built with JavaScript and Node.js.",,"February 12, 2016",2017-07-10T09:15:47Z,2021-10-30T19:59:19Z,False
16,bosque,Bosque,Bosque is programming language with a regularized design.,"The Bosque programming language is a Microsoft Research project that is investigating language designs for writing code that is simple, obvious, and easy to reason about for both humans and machines. The key design features of the language provide ways to avoid accidental complexity in the development and coding process.",Microsoft,"April 7, 2019",2018-04-25T16:23:52Z,2021-11-21T09:08:42Z,False
17,art-net,Art-Net,A communication protocol for transmitting DMX512-A and RDM over UDP/IP.,Art-Net is a royalty-free communications protocol for transmitting the DMX512-A lighting control protocol and Remote Device management (RDM) protocol over the User Datagram Protocol (UDP) of the Internet protocol suite.,Artistic Licence,,2017-03-08T14:16:03Z,2021-10-20T23:17:01Z,False
18,moleculer,Moleculer,Progressive microservices framework.,"Moleculer is a fast, modern and powerful microservices framework for Node.js. It helps you to build efficient, reliable and scalable services. Moleculer provides many features for building and managing your microservices.",icebob,"February 17, 2017",2017-03-01T22:28:15Z,2021-10-30T19:59:14Z,False
19,life-simulator,life-simulator,A genre of video game.,"A subgenre of simulation video games, where the player lives or controls one or more virtual lifeforms.",,,2017-04-14T11:49:19Z,2021-10-11T07:45:05Z,False
20,rockset,Rockset,Rockset is a real-time indexing database in the cloud.,"Rockset is a real-time indexing database service for serving low latency, high concurrency analytical queries at scale. It builds a Converged Index™ on structured and semi-structured data from OLTP databases, streams and lakes in real-time and exposes a RESTful SQL interface.",Rockset Inc.,"November 1, 2018",2019-12-14T00:29:44Z,2021-03-29T05:28:50Z,False
21,csg,Constructive Solid Geometry,"CSG is short for the Constructive Solid Geometry, a modelling technique that combine 3D solids.","CSG is short for Constructive Solid Geometry, a modeling technique that allows a modeler to create a complex surface or object by using [Boolean](https://en.wikipedia.org/wiki/Boolean_data_type) [operators](https://en.wikipedia.org/wiki/Operator_(programming)), such as union and intersection, to combine [simpler objects](https://en.wikipedia.org/wiki/Geometric_primitive).

Text above are from wikipedia.",,,2017-02-01T01:15:12Z,2021-06-05T02:10:18Z,False
22,tic-80,TIC-80,"TIC-80 is a fantasy computer for making, playing, and sharing tiny games.","TIC-80 is a tiny computer which you can use to make, play, and share tiny games. There are built-in tools for development: code, sprites, maps, sound editors, and a command line, which is enough to create a mini retro game.",Vadim Grigoruk,,2017-02-11T16:15:30Z,2022-02-06T15:17:25Z,False
23,mercury-lang,Mercury,Mercury is a functional logic programming language.,"Mercury is a pure logic programming language intended for the creation of large, fast, reliable programs. The syntax of Mercury is based on the syntax of Prolog, but semantically the two languages are very different due to Mercury's purity, its type, mode, determinism, and module systems.",Zoltan Somogyi,April 8 1995,2020-11-10T14:08:52Z,2021-04-12T09:43:27Z,False
24,platform-game,platform-game,A genre of video game.,A genre of video game where players must jump and climb between suspended platforms while avoiding obstacles.,,,2017-02-01T11:00:03Z,2021-11-27T03:11:24Z,False
25,retro-game,retro-game,A genre of video game.,"A game played on an older personal computer, console, and arcade video games in contemporary times. Something you or you or parents played when younger.",,,2017-07-13T08:30:00Z,2021-10-11T07:45:06Z,False
26,toit,Toit,Toit provides technology startups with the very best foundation for their IoT solutions.,The Toit language is the foundation for the Toit platform that brings robust serviceability to your ESP32-based devices.,Toitware ApS,2018,2021-08-02T01:41:11Z,2021-12-20T21:56:47Z,False
27,interactive-film,interactive-film,A genre of video game.,"A style if video game that presents its gameplay in a cinematic, scripted manner, often through the use of video or animation.",,,2021-10-11T07:45:05Z,2021-10-11T07:45:05Z,False
28,scikit,SciKits,SciKits (short for SciPy Toolkits) are add-on packages for SciPy.,"SciKits (short for SciPy Toolkits) are add-on packages for SciPy, hosted and developed separately and independently from the main SciPy distribution. All SciKits are licensed under OSI-approved licenses.",,,2017-02-07T21:15:31Z,2021-11-24T15:45:25Z,False
29,dle,Data Life Engine,Data Life Engine CMS written with PHP and MySQL.,DataLife Engine is a multifunctional Content Management System. One of the most popular CMS projects in Russia.,,"January 30, 2004",2017-02-03T09:44:12Z,2021-02-01T21:45:43Z,False
30,glam,GLAM,"GLAM is an acronym for ""galleries, libraries, archives, and museums"".","GLAM is an acronym for ""galleries, libraries, archives, and museums"", and refers to cultural institutions with a mission to provide access to knowledge. GLAMs collect and maintain cultural heritage materials in the public interest.",,,2017-02-02T02:09:15Z,2021-08-09T21:49:42Z,False
31,standard-ml,Standard ML,Standard ML (SML) is a general-purpose functional programming language with compile-time type checking and type inference.,"Standard ML (SML; ""Standard Meta Language"") is a general-purpose, modular, functional programming language with compile-time type checking and type inference. It is popular among compiler writers and programming language researchers, as well as in the development of theorem provers.

SML is a modern dialect of [ML](https://en.wikipedia.org/wiki/ML_(programming_language)), the programming language used in the [Logic for Computable Functions](https://en.wikipedia.org/wiki/Logic_for_Computable_Functions) theorem-proving project. It is distinctive among widely used languages in that it has [a formal specification](https://github.com/SMLFamily/The-Definition-of-Standard-ML-Revised).","Robin Milner, Mads Tofte, Robert Harper",1983,2017-02-01T11:48:10Z,2022-02-04T10:35:51Z,False
32,portapps,Portapps,Collection of portable apps for Windows.,**Portapps** is a collection of [portable applications](https://portapps.io/apps/) for Windows. You can download 📥 your favorite application as a portable 🚀 setup or a 7z archive. Each portable app is executed through a wrapper `[appname]-portable.exe` written in Golang.,CrazyMax,"September 22, 2019",2017-12-04T01:09:06Z,2021-05-23T14:07:58Z,False
33,reactphp,ReactPHP,"ReactPHP is a library that allows event-driven, non-blocking I/O with PHP.","ReactPHP is a low-level library for event-driven programming in PHP. At its core is an event loop, on top of which it provides low-level utilities, such as: a streams abstraction, asynchronous DNS resolver, network client/server, HTTP client/server, and interaction with processes.",Igor Wiedler,"April 14, 2012",2017-01-31T21:55:09Z,2021-12-25T19:52:03Z,False
34,woodpeckerci,WoodpeckerCI (Pipelines),Repositories which are using Woodpecker CI.,"A Woodpecker CI pipeline automate tests, builds, and deployment. It use the Woodpecker CI, a simple CI engine with great extensibility.",,,2021-10-10T12:39:59Z,2022-02-16T21:30:33Z,False
35,point-and-click,point-and-click,A genre of video game.,Games where player typically controls their character through a point-and-click interface using a computer mouse.,,,2017-02-01T03:43:32Z,2022-01-30T17:13:51Z,False
36,golem,Golem Network,Golem is an open source platform and marketplace for distributed computations.,"Golem is a decentralized marketplace for renting computing power. Providers can rent out their hardware to the network and requestors can pay to run applications on that hardware. Golem supports Execution environments like WASM, A Docker-like light virtual machine, and a trusted execution environment (SGX).",@golemfactory,"April 10, 2018",2017-02-03T17:38:48Z,2021-06-21T18:29:52Z,False
37,zeit,ZEIT,A company that builds tools that make cloud computing as easy and accessible as mobile computing.,"ZEIT's mission is to make cloud computing as easy and accessible as mobile computing. It builds products for developers and designers, and those who aspire to become one.",,,2017-01-31T22:37:34Z,2021-12-22T10:43:19Z,False
38,4x,4x,A genre of video game.,"4X is a genre of strategy-based games, where players control an empire and ""explore, expand, exploit, and exterminate"".",,,2017-02-15T10:19:05Z,2021-11-30T20:45:12Z,False
39,frame-interpolation,Frame Interpolation,Methods for compositing new images between two filmed or photographed images.,"Frame interpolation is used to increase the frame rate of a video, or to create a slow-motion video without lowering the frame rate.",,,2017-10-27T19:49:15Z,2021-11-02T21:49:43Z,False
40,computer-algebra,Computer algebra,Computer algebra libraries are used for manipulations with mathematical expressions.,"Computer (symbolic) algebra systems and libraries are used for manipulations with symbolic mathematical expressions.
Usually, those libraries are capable of some calculus operations (differentiation, integration, finding the limit, etc.) and numeric manipulations.
The idea is to avoid floating number operations by computing the exact result instead.",,,2017-01-31T21:31:40Z,2021-07-17T18:21:14Z,False
41,teeworlds,Teeworlds,A retro multiplayer shooter.,"Teeworlds is a free online multiplayer game, available for all major operating systems. Battle with up to 16 players in a variety of game modes, including Team Deathmatch and Capture The Flag. You can even design your own maps!",Magnus Auvinen,2007,2017-02-01T08:37:09Z,2021-05-25T10:10:20Z,False
42,pov-ray,POV-Ray,POV-Ray is a cross-platform ray-tracing program that generates images from a text-based scene description.,"POV-Ray is short for the Persistence of Vision Raytracer, a tool for producing high-quality computer graphics. The Persistence of Vision Ray-Tracer creates three-dimensional, photo-realistic images using a rendering technique called ray-tracing. It reads in a text file containing information describing the objects and lighting in a scene and generates an image of that scene from the view point of a camera also described in the text file.",The POV-Team,"July 29, 1991",2017-11-17T09:02:05Z,2020-04-17T03:12:14Z,False
43,hack-and-slash,hack-and-slash,A genre of video game.,A type of gameplay in tabletop and video games emphasizing combat.,,,2017-06-27T18:59:22Z,2021-10-11T07:45:05Z,False
44,gradescope,Gradescope,Gradescope is a suite of services to make grading coursework and providing feedback easier.,"Gradescope is a suite of services to make grading coursework and providing feedback easier. Gradescope streamlines the tedious parts of grading paper-based, digital, and code assignments while providing insights into how your students are doing. Gradescope lets instructors save time on grading so that they can do more of what matters – teaching! With Gradescope, students receive faster and more detailed feedback on their work, and instructors can see detailed assignment and question analytics.",,2014,2017-06-23T07:27:05Z,2021-05-22T06:24:25Z,False
45,bridgetown,bridgetown,A modern static site generator for Ruby.,"A Webpack-aware, Ruby-powered static site generator for the modern Jamstack era, built by [Jared White](https://jaredwhite.com/). Built upon proven open source technology, like Jekyll, Bridgetown is a fast, scalable, modular, and thoroughly forward-looking framework for building websites and frontend applications.",Jared White,"April 14, 2020",2020-05-05T21:49:42Z,2021-05-03T18:10:02Z,False
46,fighting-game,fighting-game,A genre of video game.,"A video game genre based around close combat between a limited number of characters, in an arena of fixed size.",,,2017-02-08T06:42:51Z,2022-01-07T09:03:16Z,False
47,coregames,CoreGames,"Core is a complete multiplayer development platform with tools for game editing, publishing, and discovery.","Core is a complete multiplayer development platform with tools for game editing, publishing, and discovery using a Lua API and Unreal Engine.",Manticore Games,,2020-05-25T21:54:14Z,2022-02-21T21:20:07Z,False
48,vala,Vala,Vala is a programming language that brings modern features to GNOME developers without imposing additional runtime requirements.,"Vala is a programming language that aims to bring modern programming language features to GNOME developers without imposing any additional runtime requirements, and without using a different ABI compared to applications and libraries written in C. It uses the GObject type system to create classes and interfaces declared in the Vala source code.","Jürg Billeter, Raffaele Sandrini","July 15, 2006",2017-01-31T21:35:39Z,2022-02-20T09:12:21Z,False
49,plover,Plover,"Plover is a free, open source, cross-platform stenography engine.","Plover is a free, open source, cross-platform stenography engine with support for a variety of hardware, including stenotype machines, hobbyist machines, and computer keyboards. It aims to bring stenography to anyone for free.

Stenography is a form of shorthand writing/typing that can achieve speeds of over 200 words per minute. Unlike typing, where you usually press one key down at a time to output a single character at a time, machine stenography involves pressing multiple keys down at a time to produce a syllable, word, phrase or more. This allows people to write text at much higher speeds, such as for transcription or captioning. People also use stenography for writing, programming, and day-to-day computer use.",Open Steno Project,,2017-02-09T15:28:42Z,2022-01-07T02:29:34Z,False
50,battle-royale,battle-royale,A genre of video game.,"A battle royale game is an online multiplayer video game genre that blends the survival, exploration, and scavenging elements of a survival game with last-man-standing gameplay.",,,2017-02-24T21:18:39Z,2021-12-07T14:21:40Z,False
51,neo,NEO,A distributed network for the Smart Economy.,"NEO is the use of blockchain technology and digital identity to digitize assets, the use of smart contracts for digital assets to be self-managed, to achieve ""smart economy"" with a distributed network.","Hongfei Da, Erik Zhang","July 15, 2016",2017-01-31T22:37:52Z,2021-08-08T04:38:31Z,False
52,ponylang,Pony,"Pony is an open source, object-oriented, actor-model, capabilities-secure, high-performance programming language.","Pony is an open source, object-oriented, actor-model, capabilities-secure, high-performance programming language. It makes it easy to write fast, safe, efficient, highly concurrent programs.",Sylvan Clebsch,2015,2017-02-01T08:34:37Z,2022-01-05T18:06:37Z,False
53,alternate-reality-game,alternate-reality-game,A genre of video game.,An interactive networked narrative that uses the real world as a platform and employs transmedia storytelling to deliver a story that may be altered by the player actions.,,,2019-06-22T19:56:15Z,2021-10-11T07:45:03Z,False
54,action-adventure,action-adventure,A genre of video game.,A video game genre that combines core elements from both the action game and adventure game genres.,,,2021-05-01T14:24:53Z,2021-10-11T07:45:02Z,False
55,sbml,SBML,SBML (Systems Biology Markup Language) is a free and open XML-based exchange format for computer models of biological processes.,"SBML (the Systems Biology Markup Language) is an XML-based format for communicating and storing representations of biological processes. Its aim is to be a lingua franca for representing models in biology. SBML is suitable for models commonly found in research on a number of topics, including cell signaling pathways, metabolic pathways, biochemical reactions, gene regulation, and many others.",,March 2001,2017-02-20T13:35:40Z,2021-11-12T20:09:03Z,False
56,biological-simulation,Biological Simulation,Biological Simulation is the use of computational methods to simulate mathemtical models of biological systems.,"Biological Simulation is the use of computational and mathematical models to simulate biological systems. The underlying complexity of biology necessitates the development of efficient algorithms, knowledge representation methods, visualization techniques, data formats, and computational tools to observe the emergent behaviors of biological systems. The broad scope and variety of time-scales and space-scales requires development of community-driven standards and common formats to enable interoperability and reproducibility of models.",,,2018-06-27T17:53:48Z,2022-01-27T21:22:45Z,False
57,nanocurrency,Nano,Nano is a fast and feeless cryptocurrency developed by the Nano Foundation.,"Nano is decentralized, sustainable, and secure digital money focused on addressing the inefficiencies present in existing financial systems.",Nano Foundation,"October 4, 2015",2018-02-19T17:01:55Z,2022-01-16T07:11:39Z,False
58,anidb,AniDB,"AniDB is an online English anime-related database, forum, and tracker.","AniDB stands for Anime DataBase. AniDB is a non-profit anime database that is open freely to the public. This means that all users have the ability to add or edit information on AniDB. The site features detailed information about all forms of CJK (Chinese, Japanese, and Korean) animation.",,2002,2017-02-03T02:24:54Z,2020-11-26T14:24:49Z,False
59,vr-game,vr-game,A genre of video game.,A game played in Virtual Reality.,,,2017-02-03T01:02:30Z,2021-10-27T14:44:42Z,False
60,mathcomp,Mathematical Components,Extensive repository of formalized mathematical theories in Coq.,"Mathematical Components is a repository of formalized mathematics developed using
the Coq proof assistant. This project finds its roots in the formal proof of
the Four Color Theorem. It has been used for large scale formalization projects,
including a formal proof of the Odd Order (Feit-Thompson) Theorem.",Georges Gonthier,2008,2018-07-24T21:01:10Z,2022-01-04T11:46:21Z,False
61,dungeon-crawl,dungeon-crawl,A genre of video game.,"A type of scenario in fantasy role-playing games, where heroes navigate a dungeon, or dungeon-like environment, battling various monsters, avoiding traps, solving puzzles, looting treasure, etc.",,,2019-04-05T19:20:41Z,2021-10-11T07:45:04Z,False
62,codeception,Codeception,Modern PHP Testing for everyone.,"Codeception is a modern full-stack testing framework for PHP. Inspired by BDD, it provides an absolutely new way of writing acceptance, functional and even unit tests. Powered by PHPUnit.",Michael Bodnarchuk,December 2011,2017-01-31T22:20:43Z,2021-09-07T13:25:38Z,False
63,fantasy-game,fantasy-game,A genre of video game.,"A genre of game, where players assume the roles of characters and act out fantastical adventures.",,,2020-05-13T02:59:58Z,2021-10-11T07:45:04Z,False
64,golfing-language,Golfing language,A programming language designed to be terse.,"A golfing language is a programming language, usually esoteric, that is designed to make programs written in it as terse as possible. These languages are usually used in Code Golf.",,,2017-02-01T17:36:53Z,2022-01-07T05:16:10Z,False
65,roomba,Roomba,The iRobot Roomba is a robot floor vacuum.,"The iRobot Roomba is a robot floor vacuum made by iRobot. There has been many iterations, from the 400 series to the 900 series to the i and s series. Older models bounce around using iRobot's iAdapt 1.0, while newer models use iAdapt 2.0 or 3.0 to use a systematic cleaning approach.",iRobot,,2017-02-01T09:48:25Z,2020-12-24T21:20:16Z,False
66,mount-and-blade-bannerlord,Mount & Blade II: Bannerlord,Mount & Blade II: Bannerlord is a strategy/action role-playing game.,"Published by TaleWorlds Entertainment, Mount & Blade II: Bannerlord is the eagerly awaited sequel to the acclaimed medieval combat simulator and role-playing game Mount & Blade: Warband.",TaleWorlds Entertainment,"March 30, 2020",2020-04-03T20:02:23Z,2021-07-25T18:55:06Z,False
67,netfree,Netfree,Netfree creates filters and safety measures from exposure to unwanted online content.,Netfree is a non-profit organization that creates filters and safety measures from exposure to unwanted online content,magicode,November 2014,2020-05-12T13:31:06Z,2021-06-07T15:32:41Z,False
68,pim,PIM,Personal Information Management OR Product Information Management.,The abbrevation PIM may refer to Personal Information Management OR Product Information Management (among others).,,,2017-02-01T06:51:25Z,2021-02-16T04:16:32Z,False
69,viur,ViUR,ViUR is a free software development framework for the Google App Engine written in Python.,ViUR – the Information System for the Google App Engine™ platform – is an open source software development framework that was created to fulfill all designers and developers needs and requirements. It provides a clear concept for implementing agile data management software and is written in Python™. A steady growing community is constantly improving ViUR.,Mausbrand,2012,2017-07-24T14:52:40Z,2020-10-12T06:09:24Z,False
70,calculate-pi,Calculate Pi,The mathematical Constant π.,"The number π (/paɪ/) is a mathematical constant. Originally defined as the ratio of a circle's circumference to its diameter, it now has various equivalent definitions and appears in many formulas in all areas of mathematics and physics. It is approximately equal to 3.14159. It has been represented by the Greek letter ""π"" since the mid-18th century, though it is also sometimes spelled out as ""pi"". It is also called Archimedes' constant. [Wikipedia](https://en.wikipedia.org/wiki/Pi).

If you are up for the challenge, this topic contains repositories with code to solve for Pi.",github,"March 14, 1592",2017-02-07T03:27:44Z,2021-05-09T12:08:34Z,False
71,uportal,uPortal,uPortal is an enterprise portal for education institutions.,"uPortal is an open source enterprise portal framework built by and for higher education institutions, K-12 schools, and research communities. uPortal is built on open standards-based technologies such as Java and XML, and enables easy, standards-based integration with authentication and security infrastructures, single sign-on secure access, campus applications, web-based content, and end user customization.",Apereo,December 1999,2017-01-31T22:23:17Z,2021-04-24T09:04:06Z,False
72,php-fusion,PHP-Fusion,PHP-Fusion is a lightweight open source content management system (CMS) written in PHP.,"PHP-Fusion is an all in one integrated and scalable platform a lightweight open source content management system (CMS) written in PHP that will fit any purpose when it comes to website productions, whether you are creating community portals or personal sites.",PHP-Fusion Inc,"April 12, 2003",2017-02-05T04:04:43Z,2021-04-24T09:04:05Z,False
73,stealth-game,stealth-game,A genre of video game.,"A type of video game, where the player primarily uses stealth to avoid or overcome antagonists.",,,2017-06-12T09:45:51Z,2021-10-11T07:45:07Z,False
74,producthunt,ProductHunt,"Product Hunt is a curation of the best new products, every day.","Product Hunt is an American website that lets users share and discover new products. The site, which was founded by Ryan Hoover in November 2013, is backed by Y Combinator. Users submit products, which are listed in a linear format by day.",,,2017-02-02T07:21:34Z,2022-01-24T01:58:58Z,False
75,remarkable-tablet,reMarkable tablet,"The reMarkable tablets are note-taking devices featuring an e-ink screen, a touchscreen, and a pen digitizer.","The reMarkable tablets are open note-taking devices featuring an e-ink screen, a touchscreen, and a pen digitizer. The devices come with root access by default and a Linux-based operating system, which sparked a rich community of enthusiasts who develop software to extend the capabilities of the tablets.",,,2018-01-31T09:25:48Z,2022-02-24T16:27:35Z,False
76,survival-horror,survival-horror,A genre of video game.,A subgenre of video games inspired by horror fiction that focuses on survival of the character as the game tries to frighten players with horror graphics and/or scary ambience.,,,2018-04-22T16:30:41Z,2021-10-11T07:45:08Z,False
77,saltstack,saltstack,"Salt, is a configuration management and orchestration tool.","SaltStack makes software for complex systems management at scale. SaltStack is the company that created and maintains the Salt Open project and develops and sells SaltStack Enterprise software, services and support. Easy enough to get running in minutes, scalable enough to manage tens of thousands of servers, and fast enough to communicate with them in seconds.",,March 2011,2017-02-01T00:35:42Z,2021-07-14T19:47:29Z,False
78,credo,Credo,Credo is a static code analysis tool for the Elixir language with a focus on teaching and code consistency.,"Credo can show you refactoring opportunities in your code, complex code fragments, warn you about common mistakes, show inconsistencies in your naming scheme, and - if needed - help you enforce a desired coding style.",René Föhring,"November 24, 2015",2017-02-10T06:33:29Z,2021-05-10T21:46:38Z,False
79,web-monetization,Web Monetization,A JavaScript browser API which allows the creation of a payment stream from the user agent to the website.,"Web Monetization (WM) is a proposed API standard that allows websites to request a stream of very small payments (e.g. fractions of a cent) from a user.
The API's framework provides new revenue models for websites and web-based services and is an alternative to subscription services and advertising, all while preserving the user's privacy.
In exchange for payments from the user, websites can provide the user with a ""premium"" experience, such as allowing access to exclusive content, removing advertising, or even removing the need to log in to access content or services.",,"June 15, 2020",2018-11-12T09:46:46Z,2022-02-26T07:25:00Z,False
80,fantasy-console,Fantasy console,"Fantasy consoles are small development environments that force users to work within constraints on graphics, sound, sprites, etc.","A fantasy console is a game engine and/or virtual machine simulating and inspired by 8-bit computers and consoles from yesteryear. It forces developers to work within constraints on color palettes, sound channels, resolution, memory, etc. Very popular in the retrogaming and game jam scenes.",,,2017-08-23T10:05:49Z,2022-02-10T04:22:59Z,False
81,xmake,xmake,xmake is a cross-platform build utility based on lua.,"xmake is a cross-platform build utility based on lua. It focuses on making development and building easier and provides many features, so that any developer can quickly pick it up and enjoy the productivity boost when developing and building project.",ruki,"June 8, 2015",2017-04-01T10:24:19Z,2021-11-22T18:58:20Z,False
82,pipewire,Pipewire,PipeWire is a server for handling audio and video streams and hardware on Linux.,PipeWire is a server for handling audio and video streams and hardware on Linux. It was created by Wim Taymans at Red Hat. It handles multimedia routing and pipeline processing.,,,2018-08-24T06:32:47Z,2022-02-18T23:42:02Z,False
83,getting-things-done,Getting Things Done,"Getting Things Done (GTD) is a time management method, described in the book of the same title by David Allen.",The GTD method rests on the idea of moving planned tasks and projects out of the mind by recording them externally and then breaking them into actionable work items.,,,2017-04-01T15:04:42Z,2022-01-18T03:20:42Z,False
84,epics,EPICS,A set of applications and network protocols for control systems.,"The Experimental Physics and Industrial Control System (EPICS) is a set of software tools and applications used to develop and implement distributed control systems to operate devices such as particle accelerators, telescopes and other large experiments.",,"January 19, 1994",2017-01-31T21:47:54Z,2021-12-19T17:52:14Z,False
85,m3o,Micro,Micro is a cloud native development platform.,Micro is an open source cloud native development platform which enables companies to build cloud services and distributed systems.,,January 2015,2019-10-18T21:11:36Z,2021-04-01T06:04:06Z,False
86,action-game,action-game,A genre of video game.,"A video game genre that emphasizes physical challenges, including hand–eye coordination and reaction-time.",,,2017-02-02T18:22:49Z,2022-02-20T11:48:54Z,False
87,powertoys,Microsoft PowerToys,Microsoft PowerToys is a set of utilities for power users.,"Microsoft PowerToys is a set of utilities for power users on Windows 10.

Tools:

* Color Picker: Pick a color of a pixel on your screen with only one hotkey
* FancyZones: Organize your windows in zones
* File Explorer Add-ons: Previews for markdown and SVG files
* Image Resizer: Resize images easy
* Keyboard Manager: Change hotkeys and key bindings
* PowerRename: Rename many files at once
* PowerToys Run: Lauch your applications quicker
* Shortcut Guide: See all your windows shortcuts at one place
* Video Conference Mute: Mute your microphone and your turn off your camera at a meeting",Microsoft,,2019-09-22T16:18:54Z,2022-02-28T22:56:06Z,False
88,aurelia,aurelia,A next generation JavaScript client framework that leverages simple conventions to empower your creativity.,Aurelia is a next generation JavaScript client framework that leverages simple conventions to empower your creativity.,Rob Eisenberg,July 2016,2017-01-31T21:28:33Z,2021-08-02T09:22:09Z,False
89,roguelite,roguelite,A genre of video game.,"A genre of video games that take certain elements from roguelikes (e.g. procedurally-generated content, permadeath, etc).",,,2017-02-02T21:11:36Z,2021-10-11T07:45:07Z,False
90,luvit,Luvit,Asynchronous I/O for Lua.,Luvit is an asynchronous I/O Lua runtime environment developed by Tim Caswell and contributors that implements Node.js APIs to Lua.,Tim Caswell,2011,2017-02-01T02:43:02Z,2022-02-14T15:44:28Z,False
91,openfin,OpenFin,OpenFin allows web applications to run as first-class citizens on the desktop.,"OpenFin is a web application runtime and API that brings native user experience and interoperability to web applications.  Built on Chromium, OpenFin brings the latest in web standards to the Financial community.",Brian Schwinn,December 2012,2017-02-01T14:34:38Z,2021-09-17T16:53:02Z,False
